Date,Jump around on waking up,Meditate,Write 750 words,Pushup(s),Exercise,Floss,Socialize with friends,Sleep by Midnight,Sleep at least 7 hours,Send a postcard,Call mom/dad,Stretch in the morning,Work on podcast,*All daily habits,Daily debrief,Situps,Put clothes away
2012-08-01, , , , , , , , , , , , , , , , , 
2012-08-02, , , , , , , , , , , , , , , , , 
2012-08-03, , , , , , , , , , , , , , , , , 
2012-08-04, , , , , , , , , , , , , , , , , 
2012-08-05, , , , , , , , , , , , , , , , , 
2012-08-06, , , , , , , , , , , , , , , , , 
2012-08-07, , , , , , , , , , , , , , , , , 
2012-08-08, , , , , , , , , , , , , , , , , 
2012-08-09, , , , , , , , , , , , , , , , , 
2012-08-10, , , , , , , , , , , , , , , , , 
2012-08-11, , , , , , , , , , , , , , , , , 
2012-08-12, , , , , , , , , , , , , , , , , 
2012-08-13, , , , , , , , , , , , , , , , , 
2012-08-14, , , , , , , , , , , , , , , , , 
2012-08-15, , , , , , , , , , , , , , , , , 
2012-08-16, , , , , , , , , , , , , , , , , 
2012-08-17, , , , , , , , , , , , , , , , , 
2012-08-18, , , , , , , , , , , , , , , , , 
2012-08-19, , , , , , , , , , , , , , , , , 
2012-08-20, , , , , , , , , , , , , , , , , 
2012-08-21, , , , , , , , , , , , , , , , , 
2012-08-22, , , , , , , , , , , , , , , , , 
2012-08-23, , , , , , , , , , , , , , , , , 
2012-08-24, , , , , , , , , , , , , , , , , 
2012-08-25, , , , , , , , , , , , , , , , , 
2012-08-26, , , , , , , , , , , , , , , , , 
2012-08-27, , , , , , , , , , , , , , , , , 
2012-08-28, , , , , , , , , , , , , , , , , 
2012-08-29, , , , , , , , , , , , , , , , , 
2012-08-30, , , , , , , , , , , , , , , , , 
2012-08-31, ,1,1, , ,1, ,1, , , , , , , , , 
2012-09-01, ,1,1, ,1,1, , , , , , , , , , , 
2012-09-02,1,1,1, ,1,1,1,1, , , , , , , , , 
2012-09-03,1,1,1, ,1,1,1,1, , , , , , , , , 
2012-09-04,1,1,1, , ,1,1, , , , , , , , , , 
2012-09-05,1,1,1, , ,1,1,1, , , , , , , , , 
2012-09-06,1,1,1, ,1,1, ,1, , , , , , , , , 
2012-09-07,1,1,1,1,1,1,1,1, , , ,1, , , , , 
2012-09-08,1,1,1,1,1,1,1,1, , , , , , , , , 
2012-09-09,1,1,1,1, ,1, , , , , ,1, , , , , 
2012-09-10,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-11,1,1,1,1,1,1,1, , , , , , , , , , 
2012-09-12,1,1,1,1,1,1,1,1, , , ,1, , , , , 
2012-09-13,1,1,1,1, ,1,1, , , , , , , , , , 
2012-09-14,1,1,1,1,1,1,1,1, , , , , , , , , 
2012-09-15,1,1,1,1, , ,1, , , , , , , , , , 
2012-09-16,1,1,1,1, ,1,1, , , , , , , , , , 
2012-09-17,1, ,1,1, ,1,1,1, , , , , , , , , 
2012-09-18, ,1,1,1,1,1,1,1, , , , , , , , , 
2012-09-19,1,1,1,1, ,1,1, , , , , , , , , , 
2012-09-20,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-21,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-22,1,1,1,1,1,1,1,1, , , , , , , , , 
2012-09-23,1,1,1,1,1,1,1,1, , , ,1, , , , , 
2012-09-24,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-25,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-26,1,1,1,1, ,1,1,1, , , ,1, ,1, , , 
2012-09-27,1,1,1,1,1,1, ,1, , , ,1, , , , , 
2012-09-28,1,1,1,1, ,1,1,1, , , , , , , , , 
2012-09-29,1,1,1,1,1,1,1,1, , , ,1, ,1, , , 
2012-09-30,1,1,1,1,1,1,1,1, ,1, ,1, ,1, , , 
2012-10-01,1,1,1,1, ,1,1,1, ,1, ,1, ,1, , , 
2012-10-02,1,1,1,1,1,1,1,1, ,1, , , ,1, , , 
2012-10-03,1,1,1,1,1,1,1, , ,1, , , , , , , 
2012-10-04,1,1,1,1,1,1,1, , ,1, , , , , , , 
2012-10-05,1,1,1,1, , ,1, , ,1, , ,1, , , , 
2012-10-06,1,1,1,1,1,1,1, , , , , , , , , , 
2012-10-07,1,1,1,1,1,1,1,1, , , , ,1, , , , 
2012-10-08,1,1,1,1, ,1,1, , , , , ,1, , , , 
2012-10-09,1,1,1,1, ,1,1,1, , , , ,1,1, , , 
2012-10-10,1,1,1,1, ,1, ,1,1, , , ,1,1, , , 
2012-10-11,1,1,1,1,1,1,1,1,1,1, , ,1,1, , , 
2012-10-12,1,1,1,1, ,1, , ,1,1, , ,1, , , , 
2012-10-13,1,1,1,1,1,1,1,1,1,1, , , ,1, , , 
2012-10-14,1,1,1,1,1, ,1, ,1, , , , , , , , 
2012-10-15,1,1,1,1,1,1,1,1, , , ,1,1,1,1, , 
2012-10-16,1,1,1,1,1,1,1,1, , , ,1,1,1,1, , 
2012-10-17,1,1,1,1,1,1,1,1,1, , ,1, ,1,1, , 
2012-10-18,1,1,1,1,1,1,1,1,1,1, , , ,1,1, , 
2012-10-19,1,1,1,1, ,1,1,1,1, , , , ,1,1, , 
2012-10-20,1,1,1,1,1,1,1, ,1, , , , ,1,1, , 
2012-10-21,1,1,1,1, ,1,1,1,1, , ,1, ,1,1, , 
2012-10-22,1,1,1,1, ,1,1,1,1, , , , ,1,1, , 
2012-10-23,1,1,1,1,1,1,1,1, , , , , ,1,1, , 
2012-10-24,1,1,1,1, ,1,1,1, , , , , , ,1, , 
2012-10-25,1,1,1,1, ,1,1,1, , , , , ,1,1, , 
2012-10-26,1,1,1,1, ,1,1, ,1, , , , , ,1, , 
2012-10-27,1,1,1,1,1,1,1,1,1, , , , , ,1, , 
2012-10-28,1,1,1,1,1,1,1, ,1, , , , , ,1, , 
2012-10-29,1,1,1,1, ,1,1,1, , , , ,1, ,1, , 
2012-10-30,1,1,1,1,1,1,1,1,1, ,1, , ,1,1, , 
2012-10-31, ,1,1,1, ,1,1,1, , ,1,1, , ,1, , 
2012-11-01,1,1,1,1,1,1,1, ,1,1,1, , ,1,1, , 
2012-11-02,1,1,1,1, ,1, ,1,1, , , , ,1,1, , 
2012-11-03, ,1,1,1,1,1,1, ,1,1, , , , ,1, , 
2012-11-04,1,1,1,1, ,1,1,1,1,1,1, , ,1,1, , 
2012-11-05,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1, 
2012-11-06,1,1,1,1,1,1, ,1, , ,1, , ,1,1,1, 
2012-11-07,1,1,1,1, ,1,1,1,1,1,1, , ,1,1,1,1
2012-11-08,1,1,1,1,1,1,1, , , , , , ,1,1,1,1
2012-11-09,1,1,1,1, ,1,1,1, , ,1, , ,1,1,1,1
2012-11-10,1,1,1,1,1,1,1, ,1, ,1, , , , ,1, 
2012-11-11,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1
2012-11-12,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-13,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-14,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1, ,1
2012-11-15,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-16,1,1,1,1, ,1,1,1,1, , , , ,1,1,1,1
2012-11-17,1,1,1,1, ,1,1,1,1, ,1, , ,1,1,1,1
2012-11-18,1,1,1,1,1,1,1,1,1,1, , , ,1,1, ,1
2012-11-19,1,1,1,1, ,1,1,1,1,1,1, , ,1,1,1,1
2012-11-20,1,1,1,1,1,1,1,1, , ,1, , ,1,1,1,1
2012-11-21,1,1,1,1,1,1,1, ,1, ,1, , ,1, ,1,1
2012-11-22,1,1,1,1,1,1,1,1, , ,1, , ,1,1,1,1
